1,Diego POZO,16/2/1978,GK,Atletico Colon (ARG),183
2,Martin DEMICHELIS,20/12/1980,DF,Bayern Munich (GER),184
3,Clemente RODRIGUEZ,31/7/1981,DF,Estudiantes La Plata (ARG),166
4,Nicolas BURDISSO,12/4/1981,DF,AS Roma (ITA),174
5,Mario BOLATTI,17/2/1985,MF,Fiorentina (ITA),189
6,Gabriel HEINZE,19/4/1978,DF,Marseille (FRA),178
7,Angel DI MARIA,14/2/1988,MF,Benfica (POR),180
8,Juan VERON,9/3/1975,MF,Estudiantes La Plata (ARG),183
9,Gonzalo HIGUAIN,10/12/1987,FW,Real Madrid (ESP),182
10,Lionel MESSI,24/6/1987,FW,Barcelona (ESP),170
11,Carlos TEVEZ,5/2/1984,FW,Manchester City (ENG),173
12,Ariel GARCE,14/7/1979,DF,Atletico Colon (ARG),175
13,Walter SAMUEL,23/3/1978,DF,Inter (ITA),182
14,Javier MASCHERANO,8/6/1984,MF,Liverpool (ENG),171
15,Nicolas OTAMENDI,12/2/1988,DF,Velez Sarsfield (ARG),171
16,Sergio AGUERO,2/6/1988,FW,Atletico Madrid (ESP),170
17,Jonas GUTIERREZ,5/7/1983,MF,Newcastle Utd. (ENG),182
18,Martin PALERMO,7/11/1973,FW,Boca Juniors (ARG),188
19,Diego MILITO,12/6/1979,FW,Inter (ITA),177
20,Maxi RODRIGUEZ,2/1/1981,MF,Liverpool (ENG),173
21,Mariano ANDUJAR,30/7/1983,GK,Catania (ITA),180
22,Sergio ROMERO,22/2/1987,GK,AZ Alkmaar (NED),191
23,Javier PASTORE,20/6/1989,MF,Palermo (ITA),173
