1,Mark SCHWARZER,6/10/1972,GK,Fulham (ENG),196
2,Lucas NEILL,9/3/1978,DF,Galatasaray (TUR),185
3,Craig MOORE,12/12/1975,DF,no club affiliation (UNK),186
4,Tim CAHILL,6/12/1979,FW,Everton (ENG),180
5,Jason CULINA,5/8/1980,MF,Gold Coast United (AUS),175
6,Michael BEAUCHAMP,8/3/1981,DF,Al Jazira (UAE),191
7,Brett EMERTON,22/2/1979,MF,Blackburn Rovers (ENG),185
8,Luke WILKSHIRE,2/10/1981,DF,Dynamo Moscow (RUS),177
9,Joshua KENNEDY,20/8/1982,FW,Nagoya Grampus Eight (JPN),192
10,Harry KEWELL,22/9/1978,FW,Galatasaray (TUR),183
11,Scott CHIPPERFIELD,30/12/1975,DF,Basel (SUI),180
12,Adam FEDERICI,31/1/1985,GK,Reading (ENG),188
13,Vince GRELLA,5/10/1979,MF,Blackburn Rovers (ENG),183
14,Brett HOLMAN,27/3/1984,FW,AZ Alkmaar (NED),176
15,Mile JEDINAK,3/8/1984,MF,Antalyaspor (TUR),188
16,Carl VALERI,14/8/1984,MF,Sassuolo (ITA),180
17,Nikita RUKAVYTSYA,22/6/1987,FW,Twente Enschede (NED),183
18,Eugene GALEKOVIC,12/6/1981,GK,Adelaide Utd. (AUS),186
19,Richard GARCIA,4/9/1981,FW,Hull City (ENG),180
20,Mark MILLIGAN,4/8/1985,DF,JEF United Ichihara (JPN),178
21,David CARNEY,30/11/1983,DF,Twente Enschede (NED),181
22,Dario VIDOSIC,8/4/1987,MF,MSV Duisburg (GER),185
23,Marco BRESCIANO,11/2/1980,FW,Palermo (ITA),182
