1,Diego BENAGLIO,8/9/1983,GK,Wolfsburg (GER),193
2,Stephan LICHTSTEINER,16/1/1984,DF,Lazio (ITA),180
3,Ludovic MAGNIN,20/4/1979,DF,FC Zurich (SUI),186
4,Philippe SENDEROS,14/2/1985,DF,Everton (ENG),190
5,Steve VON BERGEN,10/6/1983,DF,Hertha Berlin (GER),183
6,Benjamin HUGGEL,7/7/1977,MF,Basel (SUI),190
7,Tranquillo BARNETTA,22/5/1985,MF,Bayer Leverkusen (GER),178
8,Gokhan INLER,27/6/1984,MF,Udinese (ITA),183
9,Alexander FREI,15/7/1979,FW,Basel (SUI),180
10,Blaise NKUFO,25/5/1975,FW,Twente Enschede (NED),186
11,Valon BEHRAMI,19/4/1985,MF,West Ham Utd. (ENG),184
12,Marco WOELFLI,22/8/1982,GK,Young Boys (SUI),185
13,Stephane GRICHTING,30/3/1979,DF,Auxerre (FRA),186
14,Marco PADALINO,8/12/1983,MF,Sampdoria (ITA),177
15,Hakan YAKIN,22/2/1977,MF,Lucerne (SUI),180
16,Gelson FERNANDES,2/9/1986,MF,Saint-Etienne (FRA),183
17,Reto ZIEGLER,16/1/1986,DF,Sampdoria (ITA),183
18,Albert BUNJAKU,29/11/1983,FW,Nuremberg (GER),178
19,Eren DERDIYOK,12/6/1988,FW,Bayer Leverkusen (GER),190
20,Pirmin SCHWEGLER,9/3/1987,MF,Eintracht Frankfurt (GER),178
21,Johnny LEONI,30/6/1984,GK,FC Zurich (SUI),189
22,Mario EGGIMANN,24/1/1981,DF,Hannover 96 (GER),184
23,Xherdan SHAQIRI,10/10/1991,MF,Basel (SUI),169
